repo_url;type
https://github.com/karlstratos/singular;arxiv
https://github.com/andyreagan/twitter-reply-networks;arxiv
https://github.com/facebook/NAMAS;arxiv
https://github.com/blei-lab/edward;arxiv
https://github.com/dmlc/ps-lite;arxiv
https://github.com/openai/baselines;arxiv
https://github.com/comphist/norma;arxiv
https://github.com/lonePatient/bert-sentence-similarity-pytorch;sota
https://github.com/dk67604/ImageToImageTranslation;sota
https://github.com/phuijse/MATIC;sota
https://github.com/CZWin32768/seqmnist;sota
https://github.com/haanvid/CL1AD;arxiv
https://github.com/joonleesky/DeepLearning_Reimplementations;sota
https://github.com/facebookresearch/video-nonlocal-net;sota
https://github.com/janelia-flyem/dvid;arxiv
https://github.com/izmailovpavel/TTGP;arxiv
https://github.com/SimoneCaldarella/facialRecognition;sota
https://github.com/kangyiS/caffe_ky;sota
https://github.com/neerajdhanraj/PSF;arxiv
https://github.com/deepmind/rc-data;arxiv
https://github.com/JasperSnoek/spearmint;arxiv
https://github.com/berndbischl/parallelMap;arxiv
https://github.com/yeonwoo90/convs;sota
https://github.com/raun1/MICCAI2018---Complementary_Segmentation_Network-Raw-Code-Available-Under-Construction-;sota
https://github.com/weiyangfb/PyTorchSparseGAT;sota
https://github.com/haje01/impala;sota
https://github.com/fanny-yang/MABFDR;arxiv
https://github.com/rrahmati/roboinstruct-2;arxiv
https://github.com/neeleshkshukla/Entity-Role-Detection-Paper;sota
https://github.com/anordio/img-classifier-ships;sota
https://github.com/renll/RSAM;arxiv
https://github.com/Natsu6767/Generating-Devanagari-Using-DRAW;sota
https://github.com/mravanelli/pytorch-kaldi;sota
https://github.com/lim0606/caffe-googlenet-bn;arxiv
https://github.com/roimehrez/DDIS;arxiv
https://github.com/steverab/tensor-gmm;arxiv
https://github.com/strawberryfg/c2f-3dhm-human-caffe;sota
https://github.com/wlin12/JNN;sota
https://github.com/pbashivan/EEGLearn;arxiv
https://github.com/MarcusOlivecrona/REINVENT;arxiv
https://github.com/DanishShah/DeepDiagnosis;arxiv
https://github.com/zeux/pugixml;arxiv
https://github.com/Ereebay/Deep-Learning-Documents;sota
https://github.com/zym1119/MobileNetV2_pytorch_cifar;sota
https://github.com/RuiShu/dirt-t;arxiv
https://github.com/wy1iu/LargeMargin_Softmax_Loss;arxiv
https://github.com/yanqi1811/self-attention;sota
https://github.com/labdac/charlacompling;sota
https://github.com/jaydchan/tawny-karyotype;arxiv
https://github.com/thangbui/streaming_sparse_gp;arxiv
https://github.com/cmackenziek/tsfl;arxiv
https://github.com/evvyy/fine_tuning_VGG16;sota
https://github.com/Bunseki2/DeepL;sota
https://github.com/ucsd-ml-arts/ml-art-final-justin-law;sota
https://github.com/CarstenIsert/DeepBurn;sota
https://github.com/haitaozhao/Neural-Component-Analysis;arxiv
https://github.com/mikevoets/jama16-retina-replication;arxiv
https://github.com/sprenkle/VectorCards;sota
https://github.com/kunj17/keras-quora-question-pair;sota
https://github.com/ionelhosu/atari-human-checkpoint-replay;arxiv
https://github.com/mrottmann/DeepBASS;arxiv
https://github.com/mrash/afl-cve;arxiv
https://github.com/eske/multivec;arxiv
https://github.com/afzalahmad0203/tf_shufflenet;sota
https://github.com/hzwer/NIPS2017-LearningToRun;arxiv
https://github.com/zhongyunuestc/bert_multitask;sota
https://github.com/af-ai-center/bert;sota
https://github.com/cvangysel/cuNVSM;arxiv
https://github.com/abel-leulseged/Quick-Draw;sota
https://github.com/kazizzad/Bootstrap-DQN;arxiv
https://github.com/JUrban/BliStr;arxiv
https://github.com/yjxiong/caffe;arxiv
https://github.com/pransen/faster_rcnn;sota
https://github.com/qq345736500/sarcasm;sota
https://github.com/acetylSv/rhythmic-flexible-vc-arch;sota
https://github.com/jooyounghun/Separable-CNN;sota
https://github.com/siavashbigdeli/DMSP;sota
https://github.com/norouzi/ckmeans;arxiv
https://github.com/keowang/dynamic-program-embedding;arxiv
https://github.com/Britefury/self-ensemble-visual-domain-adapt;arxiv
https://github.com/SSusantAchary/FaceDetection-counting-using-MTCNN;sota
https://github.com/sunqiangxtcsun/faster-rcnn;sota
https://github.com/fcakir/mihash;arxiv
https://github.com/DrSleep/refinenet-pytorch;sota
https://github.com/km1414/CNN-models;sota
https://github.com/wujian16/Cornell-MOE;arxiv
https://github.com/emaasit/long-range-extrapolation;arxiv
https://github.com/DCYN/Ramdomized-Clinical-Trail-Classification;sota
https://github.com/ChrisHuie/DataScienceInfusionsoft;sota
https://github.com/exekudos/se-resnet;sota
https://github.com/Johnnylyu/Text-Mining-and-Classification-for-Attain;sota
https://github.com/lrank/Robust-Representation;arxiv
https://github.com/eric-erki/yolov3;sota
https://github.com/facebookresearch/adversarial_image_defenses;sota
https://github.com/awslabs/sockeye;arxiv
https://github.com/yiwenguo/Dynamic-Network-Surgery;arxiv
https://github.com/jrg365/gpytorch;arxiv
https://github.com/albietz/stochs;arxiv
https://github.com/ermongroup/bgm;arxiv
https://github.com/jiahuei/COMIC-Towards-A-Compact-Image-Captioning-Model-with-Attention;sota
https://github.com/benedekrozemberczki/AttentionWalk;sota
https://github.com/explosion/spaCy;arxiv
https://github.com/anzhao0503/group-normalization.pytorch;sota
https://github.com/dannysdeng/EnhanceGAN;sota
https://github.com/luanshiyinyang/VGGNet;sota
https://github.com/jerryljq/ActionRecognition;sota
https://github.com/dl-nlp/dl-nlp.github.io;sota
https://github.com/Luckick/EAGCN;arxiv
https://github.com/Baichenjia/NMT-eager;sota
https://github.com/cboydNYC/Speech2Face;sota
https://github.com/talhanai/asru2017-method;arxiv
https://github.com/taki0112/SPADE-Tensorflow;sota
https://github.com/zej-luffy/deeplab-public-ver2;sota
https://github.com/sanghoon/pva-faster-rcnn;arxiv
https://github.com/gustavla/fractalnet;arxiv
https://github.com/scottyih/STAGG;arxiv
https://github.com/victimsnino/pose-simple-baselines-demo.pytorch;sota
https://github.com/semal/bert;sota
https://github.com/kirilcvetkov92/Vehicle-Detection;sota
https://github.com/epwalsh/pytorch-crf;sota
https://github.com/rickyHong/Random-erasing-Data-Augumentation-repl;sota
https://github.com/cbfinn/maml;arxiv
https://github.com/amirassov/kaggle-imaterialist;sota
https://github.com/kwotsin/TensorFlow-ENet;sota
https://github.com/pawni/BayesByHypernet;arxiv
